"","fips","SCC","Pollutant","Emissions","type","year","summ"
"59","24510","220102031B","PM25-PRI",0.62,"ON-ROAD","1999",7332966.73700002
"60","24510","220102031T","PM25-PRI",0.23,"ON-ROAD","1999",7332966.73700002
"61","24510","220102031X","PM25-PRI",1.4,"ON-ROAD","1999",7332966.73700002
"62","24510","220102033B","PM25-PRI",0.57,"ON-ROAD","1999",7332966.73700002
"63","24510","220102033T","PM25-PRI",0.22,"ON-ROAD","1999",7332966.73700002
"64","24510","220102033X","PM25-PRI",1.3,"ON-ROAD","1999",7332966.73700002
"65","24510","220104023B","PM25-PRI",0.95,"ON-ROAD","1999",7332966.73700002
"66","24510","220104023T","PM25-PRI",0.36,"ON-ROAD","1999",7332966.73700002
"67","24510","220104023X","PM25-PRI",3.43,"ON-ROAD","1999",7332966.73700002
"68","24510","220104025B","PM25-PRI",0.45,"ON-ROAD","1999",7332966.73700002
"69","24510","220104025T","PM25-PRI",0.17,"ON-ROAD","1999",7332966.73700002
"70","24510","220104025X","PM25-PRI",1.63,"ON-ROAD","1999",7332966.73700002
"71","24510","220104027B","PM25-PRI",0.57,"ON-ROAD","1999",7332966.73700002
"72","24510","220104027T","PM25-PRI",0.22,"ON-ROAD","1999",7332966.73700002
"73","24510","220104027X","PM25-PRI",2.11,"ON-ROAD","1999",7332966.73700002
"74","24510","220104029B","PM25-PRI",0.47,"ON-ROAD","1999",7332966.73700002
"75","24510","220104029T","PM25-PRI",0.18,"ON-ROAD","1999",7332966.73700002
"76","24510","220104029X","PM25-PRI",1.74,"ON-ROAD","1999",7332966.73700002
"77","24510","220104031B","PM25-PRI",0.21,"ON-ROAD","1999",7332966.73700002
"78","24510","220104031T","PM25-PRI",0.08,"ON-ROAD","1999",7332966.73700002
"79","24510","220104031X","PM25-PRI",0.78,"ON-ROAD","1999",7332966.73700002
"80","24510","220104033B","PM25-PRI",0.2,"ON-ROAD","1999",7332966.73700002
"81","24510","220104033T","PM25-PRI",0.07,"ON-ROAD","1999",7332966.73700002
"82","24510","220104033X","PM25-PRI",0.73,"ON-ROAD","1999",7332966.73700002
"83","24510","220107023B","PM25-PRI",0.36,"ON-ROAD","1999",7332966.73700002
"84","24510","220107023T","PM25-PRI",0.15,"ON-ROAD","1999",7332966.73700002
"85","24510","220107023X","PM25-PRI",5.27,"ON-ROAD","1999",7332966.73700002
"86","24510","220107025B","PM25-PRI",0.17,"ON-ROAD","1999",7332966.73700002
"87","24510","220107025T","PM25-PRI",0.07,"ON-ROAD","1999",7332966.73700002
"88","24510","220107025X","PM25-PRI",2.5,"ON-ROAD","1999",7332966.73700002
"89","24510","220107027B","PM25-PRI",0.22,"ON-ROAD","1999",7332966.73700002
"90","24510","220107027T","PM25-PRI",0.09,"ON-ROAD","1999",7332966.73700002
"91","24510","220107027X","PM25-PRI",3.13,"ON-ROAD","1999",7332966.73700002
"92","24510","220107029B","PM25-PRI",0.18,"ON-ROAD","1999",7332966.73700002
"93","24510","220107029T","PM25-PRI",0.07,"ON-ROAD","1999",7332966.73700002
"94","24510","220107029X","PM25-PRI",2.58,"ON-ROAD","1999",7332966.73700002
"95","24510","220107031B","PM25-PRI",0.08,"ON-ROAD","1999",7332966.73700002
"96","24510","220107031T","PM25-PRI",0.03,"ON-ROAD","1999",7332966.73700002
"97","24510","220107031X","PM25-PRI",1.16,"ON-ROAD","1999",7332966.73700002
"98","24510","220107033B","PM25-PRI",0.07,"ON-ROAD","1999",7332966.73700002
"99","24510","220107033T","PM25-PRI",0.03,"ON-ROAD","1999",7332966.73700002
"100","24510","220107033X","PM25-PRI",1.08,"ON-ROAD","1999",7332966.73700002
"101","24510","220108023B","PM25-PRI",0.05,"ON-ROAD","1999",7332966.73700002
"102","24510","220108023T","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"103","24510","220108023X","PM25-PRI",0.13,"ON-ROAD","1999",7332966.73700002
"104","24510","220108025B","PM25-PRI",0.02,"ON-ROAD","1999",7332966.73700002
"105","24510","220108025X","PM25-PRI",0.06,"ON-ROAD","1999",7332966.73700002
"106","24510","220108027B","PM25-PRI",0.03,"ON-ROAD","1999",7332966.73700002
"107","24510","220108027T","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"108","24510","220108027X","PM25-PRI",0.08,"ON-ROAD","1999",7332966.73700002
"109","24510","220108029B","PM25-PRI",0.02,"ON-ROAD","1999",7332966.73700002
"110","24510","220108029X","PM25-PRI",0.07,"ON-ROAD","1999",7332966.73700002
"111","24510","220108031B","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"112","24510","220108031X","PM25-PRI",0.03,"ON-ROAD","1999",7332966.73700002
"113","24510","220108033B","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"114","24510","220108033X","PM25-PRI",0.03,"ON-ROAD","1999",7332966.73700002
"115","24510","223000123B","PM25-PRI",0.02,"ON-ROAD","1999",7332966.73700002
"116","24510","223000123T","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"117","24510","223000123X","PM25-PRI",1.09,"ON-ROAD","1999",7332966.73700002
"118","24510","223000125B","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"119","24510","223000125X","PM25-PRI",0.52,"ON-ROAD","1999",7332966.73700002
"120","24510","223000127B","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"121","24510","223000127X","PM25-PRI",0.66,"ON-ROAD","1999",7332966.73700002
"122","24510","223000129B","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"123","24510","223000129X","PM25-PRI",0.54,"ON-ROAD","1999",7332966.73700002
"124","24510","223000131X","PM25-PRI",0.24,"ON-ROAD","1999",7332966.73700002
"125","24510","223000133X","PM25-PRI",0.23,"ON-ROAD","1999",7332966.73700002
"126","24510","223006023B","PM25-PRI",0.02,"ON-ROAD","1999",7332966.73700002
"127","24510","223006023T","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"128","24510","223006023X","PM25-PRI",0.92,"ON-ROAD","1999",7332966.73700002
"129","24510","223006025B","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"130","24510","223006025X","PM25-PRI",0.44,"ON-ROAD","1999",7332966.73700002
"131","24510","223006027B","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"132","24510","223006027X","PM25-PRI",0.55,"ON-ROAD","1999",7332966.73700002
"133","24510","223006029B","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"134","24510","223006029X","PM25-PRI",0.46,"ON-ROAD","1999",7332966.73700002
"135","24510","223006031X","PM25-PRI",0.2,"ON-ROAD","1999",7332966.73700002
"136","24510","223006033X","PM25-PRI",0.19,"ON-ROAD","1999",7332966.73700002
"137","24510","223007123B","PM25-PRI",0.1,"ON-ROAD","1999",7332966.73700002
"138","24510","223007123T","PM25-PRI",0.04,"ON-ROAD","1999",7332966.73700002
"139","24510","223007123X","PM25-PRI",4.14,"ON-ROAD","1999",7332966.73700002
"140","24510","223007125B","PM25-PRI",0.05,"ON-ROAD","1999",7332966.73700002
"141","24510","223007125T","PM25-PRI",0.02,"ON-ROAD","1999",7332966.73700002
"142","24510","223007125X","PM25-PRI",1.97,"ON-ROAD","1999",7332966.73700002
"143","24510","223007127B","PM25-PRI",0.06,"ON-ROAD","1999",7332966.73700002
"144","24510","223007127T","PM25-PRI",0.02,"ON-ROAD","1999",7332966.73700002
"145","24510","223007127X","PM25-PRI",2.49,"ON-ROAD","1999",7332966.73700002
"146","24510","223007129B","PM25-PRI",0.05,"ON-ROAD","1999",7332966.73700002
"147","24510","223007129T","PM25-PRI",0.02,"ON-ROAD","1999",7332966.73700002
"148","24510","223007129X","PM25-PRI",2.05,"ON-ROAD","1999",7332966.73700002
"149","24510","223007131B","PM25-PRI",0.02,"ON-ROAD","1999",7332966.73700002
"150","24510","223007131T","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"151","24510","223007131X","PM25-PRI",0.92,"ON-ROAD","1999",7332966.73700002
"152","24510","223007133B","PM25-PRI",0.02,"ON-ROAD","1999",7332966.73700002
"153","24510","223007133T","PM25-PRI",0.01,"ON-ROAD","1999",7332966.73700002
"154","24510","223007133X","PM25-PRI",0.86,"ON-ROAD","1999",7332966.73700002
"155","24510","223007223B","PM25-PRI",0.06,"ON-ROAD","1999",7332966.73700002
"156","24510","223007223T","PM25-PRI",0.03,"ON-ROAD","1999",7332966.73700002
"157","24510","223007223X","PM25-PRI",2.07,"ON-ROAD","1999",7332966.73700002
